A B A B A B B A
0.146528 3.782305 3.720700 -4.161421 12.890179 4.305253 0.046876 8.888915
-0.131905 4.386460 4.357598 -4.215746 13.759070 4.801165 0.547098 4.522186
0.087034 4.270076 4.408879 -4.810287 12.176344 4.473175 1.067722 10.263525
1.901057 4.932881 5.016841 -5.162886 14.823243 4.745282 2.011594 9.749168
2.065564 5.232670 5.315328 -4.742273 15.315581 4.936447 2.585431 10.611799
0.482334 5.006195 9.331668 -5.142526 13.839404 4.769858 3.415245 10.175529
2.121848 5.346091 6.344343 -5.020131 16.417907 4.330638 3.580733 10.181453
3.844157 4.717087 6.193487 -4.967209 15.937555 4.317615 4.129734 10.383224
3.181453 4.836725 8.800623 -5.000326 16.754443 3.801487 4.200209 12.258932
4.315804 4.673675 9.225067 -5.084926 14.548602 3.467312 4.639550 13.464351
4.820530 4.406013 8.389864 -4.433212 17.938377 2.897705 4.932506 13.140435
5.529264 3.991991 11.420730 -4.488282 17.634528 2.585410 4.820800 12.189965
6.354319 3.481609 11.777117 -3.972518 17.869054 1.601942 4.652944 13.976525
10.264357 2.608887 12.008553 -3.602920 18.961981 0.479995 5.620430 14.111121
8.745741 1.418973 11.791040 -2.731760 18.299102 -0.064416 5.147198 16.265776
7.951972 1.658262 12.107775 -2.371414 17.822306 -0.430499 4.773478 14.960679
10.298192 0.623892 13.757861 -1.162956 18.257956 -1.298222 4.103076 15.119363
9.973023 0.337730 11.750023 -1.489813 18.007087 -1.813095 4.300155 14.818786
8.373116 -0.062970 13.954366 -0.883217 18.600591 -2.078453 3.538200 18.586678
9.616969 -1.191523 15.641089 0.359151 19.822373 -2.653942 3.313340 16.900314
9.561907 -1.481518 14.469071 0.979865 20.120333 -3.341329 2.992500 16.938718
12.763902 -2.176805 14.708012 0.899526 19.885320 -3.789442 2.533105 16.770266
13.041502 -3.066314 14.299586 1.662831 20.847067 -4.169062 1.536562 16.557048
12.798406 -3.086289 15.854952 2.384071 19.845242 -4.263043 1.007943 18.983271
12.555963 -3.640309 15.710823 2.627740 18.571946 -5.010028 0.114625 17.859836
14.110293 -4.318781 15.678019 3.061593 20.381512 -5.017774 -0.519328 17.492360
16.007567 -4.533105 18.379841 4.055877 20.501085 -4.795332 -1.134546 18.708923
16.177307 -4.827613 16.001867 4.181781 20.841714 -4.958363 -2.240956 18.164649
14.311004 -4.798825 18.018058 4.389393 20.731723 -4.946304 -2.244200 17.184786
13.523574 -5.393505 17.593555 5.085369 20.403286 -4.368046 -2.942353 19.372149
16.029000 -5.113823 17.186967 5.043355 19.668428 -4.494446 -3.032823 18.124919
15.342647 -5.080951 16.247236 5.066571 20.268747 -3.405015 -3.725011 18.280851
16.184861 -4.360188 17.691214 4.990866 20.649030 -3.153108 -4.290612 18.689618
19.056820 -4.719917 19.988528 5.086647 20.643018 -2.669334 -5.159555 18.249211
17.489621 -4.228349 19.717374 4.968076 19.394438 -2.266419 -4.945234 20.589941
16.147527 -3.623808 19.229161 5.187476 19.998039 -1.854373 -5.035942 20.581819
18.771998 -2.958858 19.178289 4.645685 18.585391 -1.305741 -5.051489 17.967006
18.531567 -2.694624 19.914485 4.466301 19.969800 -0.190233 -4.934600 20.817171
18.830221 -1.776336 16.997332 3.726907 18.212942 0.810194 -4.979533 20.499886
19.011762 -1.608257 20.422427 3.604384 17.345133 0.815361 -4.944899 18.435488
20.546051 -0.283499 18.637701 3.090031 17.834330 1.863628 -4.291745 19.670359
17.682438 0.147358 21.396454 2.065577 18.180919 2.384193 -4.196891 18.542510
20.609027 0.667444 21.650774 1.925236 16.495277 2.891848 -3.836371 18.933100
17.546033 1.185080 18.630625 1.487370 16.352082 3.776457 -3.370401 19.662452
19.231182 2.103013 20.204510 0.782305 18.057827 3.690449 -3.090289 19.208158
19.015362 2.046245 20.566856 -0.092853 15.843412 4.000029 -2.482541 21.812302
19.239123 3.033666 21.772491 -0.116562 15.067489 5.128988 -1.679088 20.331017
19.803901 3.346052 21.329152 -0.832032 16.094885 4.359176 -1.270932 18.545700
20.385050 3.990337 20.627092 -1.719795 13.908929 4.922889 -0.618247 18.545442
18.566875 3.908466 22.398127 -2.341851 15.926343 5.085169 0.232125 19.610319
20.783722 4.805855 19.174523 -2.693083 14.574875 5.132893 0.544701 19.295433
21.128177 4.355406 21.145764 -3.116508 14.022698 4.914785 1.444485 16.559784
19.917459 5.139246 19.614145 -3.326169 15.426062 4.270311 2.380011 16.415035
19.541798 4.887054 20.188994 -4.303564 14.760647 3.979007 2.744020 19.056268
19.129293 4.888399 19.538052 -4.582620 12.379097 3.644379 3.694275 15.836775
21.704692 4.974668 20.183849 -5.113205 11.974512 3.362266 4.069355 17.899478
20.875937 4.520503 20.261822 -5.056022 10.634183 1.923193 4.187666 18.314217
18.504854 4.477294 18.558939 -5.433756 11.569773 1.704207 4.669252 16.361682
18.472386 4.114711 19.026307 -5.363245 9.235076 1.707778 4.245133 15.067859
19.522065 3.560862 18.187132 -4.744319 8.739129 0.734484 5.355376 15.481819
17.374831 2.856363 19.284516 -5.044080 9.477763 -0.170933 5.051395 16.462532
18.285785 2.417726 18.801225 -5.484211 7.439037 -0.464350 4.737675 15.388826
18.691187 1.858589 17.686533 -5.060146 8.752652 -1.367654 5.193513 14.661233
20.177621 1.227198 16.228695 -4.353641 6.716718 -1.858503 5.118837 14.601990
19.589027 0.697925 17.142587 -4.196781 7.015654 -2.956734 4.381932 15.159790
20.349189 0.183113 17.412378 -4.091173 7.590206 -3.413796 4.861499 12.576100
18.664411 -0.591425 16.114615 -3.129635 5.368878 -3.399590 4.208757 13.462575
15.948725 -0.998541 15.721778 -2.742000 6.530757 -3.795891 3.654587 12.285291
16.918435 -1.964099 15.681165 -2.022106 5.031196 -4.439749 3.769245 11.586360
17.215885 -2.863054 17.371702 -1.673147 6.307379 -4.774867 2.599021 10.850575
15.907483 -3.271267 14.139066 -1.179769 4.398227 -5.230962 2.099841 9.833850
14.914136 -3.580388 14.977142 -0.128637 1.190332 -4.851035 2.130424 10.263528
16.539823 -4.194275 13.616684 0.276077 3.311787 -4.947997 1.071699 12.788636
14.886003 -4.634936 13.614324 0.492932 2.042224 -4.744372 -0.029927 11.014075
14.896850 -4.850646 11.710840 1.324327 1.731469 -5.263147 -0.426728 10.710272
15.191527 -4.740510 12.093053 1.916709 -1.014493 -3.890504 -1.033908 8.879899
14.988816 -5.476373 12.320350 3.171248 -1.180607 -3.855581 -1.769890 8.070839
13.497169 -4.816957 11.397201 3.500339 -0.417601 -3.835120 -2.194932 6.399251
13.444925 -4.862455 12.758864 2.966242 -3.854004 -2.611655 -3.001995 7.048140
12.957427 -4.466236 10.625679 4.412257 -1.263694 -2.335279 -3.276980 7.026531
14.249335 -4.750197 10.463630 4.781890 -2.458120 -1.636650 -3.609693 5.552669
11.618320 -3.991295 11.140832 4.948005 -3.689191 -1.394392 -4.468379 3.877376
10.520453 -4.780946 9.306795 4.750092 -5.349550 -0.679458 -4.928048 3.903103
10.542761 -3.627414 7.319223 4.935800 -4.791326 0.680386 -4.999056 3.054615
9.614925 -3.121793 5.721284 4.783183 -5.535001 0.862606 -5.059598 3.827238
9.174255 -2.429047 8.838395 5.458044 -5.357858 1.444504 -5.168365 1.994166
7.992260 -1.720044 5.549037 5.195480 -9.674201 1.893025 -5.609521 2.069869
8.884778 -0.858818 5.909285 5.401481 -7.408843 2.724612 -5.304994 2.456515
8.169362 -0.450685 6.505334 5.060286 -8.088537 3.137228 -4.934844 -0.624452
8.126891 0.129783 4.657416 4.525804 -5.238750 3.783197 -4.710194 -1.086097
7.939259 1.165843 3.884584 4.395557 -7.543379 4.424402 -4.564134 -0.221851
6.656848 1.073047 4.781949 3.752379 -7.226545 4.288889 -3.789958 -0.529720
5.684824 2.418987 3.851737 3.088908 -11.032132 4.461715 -3.361798 -1.642055
5.999811 2.400465 1.593552 2.983715 -12.167267 4.779957 -3.028648 -0.744145
3.274385 2.931467 2.666803 2.724414 -11.843714 4.796769 -2.114098 -3.436386
3.922551 4.004922 0.642584 1.856055 -12.279007 5.202562 -1.432458 -5.132388
3.342821 4.336188 -0.459376 1.154605 -13.147747 4.584634 -0.648973 -6.713107
1.883226 4.757381 0.313842 0.533581 -11.191265 4.363876 -0.184329 -4.739779
2.966009 4.614838 0.283607 0.276627 -13.197019 4.067337 0.501182 -4.725017
-0.002695 5.064426 -0.026442 -0.896881 -13.608799 3.841484 0.826177 -6.675565
-1.618682 4.853262 -0.772573 -0.947072 -14.293786 3.082500 1.521922 -7.947740
1.399799 4.396667 -1.562415 -1.722551 -14.812709 2.260891 2.405571 -7.333202
-1.080121 5.274668 -1.266659 -2.770128 -15.170501 2.198337 2.769033 -8.679119
-1.034826 5.061869 -3.638343 -3.145343 -16.303163 1.553114 3.399924 -9.015211
-1.846457 4.401443 -3.696302 -3.881437 -15.637666 1.160458 3.930145 -9.069023
-1.140162 4.373683 -3.585083 -4.274435 -15.663218 0.124172 4.346017 -11.977743
-4.240607 3.988450 -5.458735 -4.307388 -14.158695 -0.594661 4.680189 -9.297676
-3.253969 3.213668 -5.135060 -4.167501 -17.542304 -1.452176 4.552323 -10.797168
-2.281374 3.133825 -7.111493 -4.753071 -17.310756 -1.535594 4.777100 -11.749803
-4.505289 2.556864 -5.466367 -4.996997 -16.913547 -2.154344 5.208452 -12.830812
-3.394894 1.500860 -8.951415 -4.691562 -16.834557 -2.807025 5.184007 -11.340784
-5.479755 1.220265 -9.247241 -5.053224 -16.486171 -3.212967 5.249598 -14.119475
-6.462103 -0.247754 -9.136489 -5.424452 -18.612361 -4.164117 5.157407 -14.580092
-6.370051 -0.150943 -8.804577 -4.955921 -20.013809 -3.999957 4.700831 -11.666150
-9.227579 -1.171010 -8.488496 -4.806099 -16.768519 -4.395390 4.362452 -14.812938
-9.531441 -1.064920 -11.173012 -4.619561 -19.323343 -4.869351 3.411449 -14.863934
-8.898504 -2.236819 -13.587939 -4.364887 -20.320054 -5.076622 3.753431 -13.766149
-9.968824 -3.220774 -11.408234 -3.943174 -20.993353 -4.900795 2.967003 -14.266013
-10.854763 -3.100754 -10.891343 -3.489978 -19.455444 -5.012448 2.267083 -15.126475
-12.871628 -3.344699 -13.032102 -3.191346 -20.316568 -4.905093 2.224715 -15.842675
-12.848917 -4.334605 -12.576459 -2.449338 -18.531593 -4.314987 1.702645 -16.203390
-14.208012 -4.710500 -14.865914 -2.344687 -18.192419 -3.861225 0.645293 -17.554134
-14.269301 -5.016538 -13.876708 -0.778329 -19.088846 -3.597425 -0.375756 -18.365796
-13.556784 -4.361905 -14.243144 -0.375377 -20.853412 -3.034176 -0.512850 -17.123088
-12.524325 -4.846335 -16.010459 0.018465 -20.013302 -2.590039 -1.765429 -17.509862
-15.285973 -5.265842 -15.068072 0.246054 -20.163599 -1.924056 -1.905224 -18.669745
-12.488001 -4.932180 -17.208125 1.393349 -19.952258 -1.310104 -2.772529 -18.968261
-14.489005 -5.134234 -18.109002 1.766242 -19.488442 -0.664588 -3.200967 -20.053223
-15.629345 -4.610205 -16.669545 2.900198 -19.259424 -0.242602 -3.570558 -16.695994
-14.049054 -3.960522 -16.012205 2.701797 -17.840333 0.509220 -4.129935 -18.798462
