A B A A B B A B
23.322226 -4.591945 21.496734 20.279021 -3.592315 -3.252749 22.118605 -3.320972
21.659424 -4.001272 22.175585 21.439928 -3.538809 -6.070079 22.378206 -5.691076
23.410074 -4.991352 21.408066 19.719021 -5.728307 -3.618915 23.245826 -3.497075
21.813510 -4.631624 20.036510 21.794014 -4.702098 -4.043904 22.105314 -5.204675
20.177908 -5.391139 19.725842 21.638143 -5.408779 -3.273821 20.229410 -5.629815
22.466629 -7.302422 18.849905 19.846646 -3.805644 -5.290607 21.145663 -3.663430
22.136703 -6.945547 19.883266 19.733558 -6.667000 -5.524326 23.019131 -5.937961
21.560564 -3.367403 19.931520 21.194604 -4.065808 -4.250454 21.275819 -6.315356
23.031820 -4.242028 20.157437 21.237044 -4.137481 -3.813191 22.860639 -4.384945
20.775282 -4.456755 19.766744 22.493400 -4.879263 -5.382897 22.238579 -4.801448
20.345328 -3.573869 17.570591 21.886963 -4.291839 -4.689839 22.770242 -3.487250
22.389029 -4.245487 17.961439 23.047004 -1.937985 -5.924929 20.155924 -3.971305
22.872676 -2.804518 17.906501 21.473961 -3.084075 -3.832437 19.780300 -1.513313
19.780327 -2.099678 17.053686 22.330385 -1.138531 -1.011053 21.271951 -2.676838
21.335587 -1.467895 16.753806 22.964796 0.737322 -2.968136 20.494883 -3.343013
20.271099 -0.815940 17.881711 21.021871 0.930673 0.503892 19.545375 -2.138191
20.970611 -1.200383 16.464229 20.640930 -0.313050 0.501135 18.663718 -2.182135
19.674074 -0.122437 16.898753 22.133731 0.531412 0.784881 18.235633 -1.298333
19.448020 2.811286 16.975807 21.315033 3.708829 0.689307 18.296188 0.990382
19.203919 3.549485 15.493466 20.757623 2.803537 -0.115912 18.373399 1.754060
20.323520 3.147671 14.764438 22.164772 2.732215 2.083434 18.488637 0.649790
18.528179 2.344074 12.792448 20.624810 3.809267 5.390919 18.602525 3.057926
19.302247 2.297942 13.527435 19.046638 5.258456 3.448301 16.857032 2.856701
18.705848 3.367105 11.224277 22.841481 5.012586 5.036140 15.384219 4.185095
18.303420 3.002645 14.147297 21.227422 3.658555 4.023898 16.966766 5.397773
18.530620 3.902216 11.302684 21.198084 5.594932 7.055366 15.742034 4.754045
17.277229 2.373853 12.300024 18.879899 6.998971 4.170710 15.654793 5.057598
16.841769 5.031306 10.121601 20.039386 5.054915 5.779678 14.446278 4.667716
18.463783 6.332032 9.317689 18.883383 6.219645 5.227323 14.807083 3.502779
14.968825 4.999516 9.426142 19.013315 4.124227 5.503383 11.924979 3.713827
13.421515 6.641150 8.074607 16.487231 5.595904 4.738842 13.640530 6.148474
14.728626 5.521654 8.084309 18.694422 4.690182 5.193765 14.498185 3.415202
12.327829 4.517375 6.828973 19.076843 4.234961 4.853486 12.285306 6.622283
14.206324 4.875248 6.878891 18.006644 4.106409 2.795755 11.021303 2.976492
12.067136 2.682521 6.889880 16.000149 3.911706 3.643657 10.247891 3.611420
11.184608 3.929132 6.337874 17.049972 2.970409 1.746957 12.040537 2.065508
10.947682 2.881649 4.333822 15.085743 2.736101 1.138754 9.058229 3.853025
11.229876 4.386357 4.171215 15.328756 1.636095 1.594768 7.510210 0.947628
11.341242 1.098492 2.701853 13.978270 -0.303945 -1.317104 8.736977 0.879321
9.114638 1.079222 3.546672 13.878260 -0.386750 -1.621040 7.470152 2.278526
10.508845 -0.121315 3.563313 15.438176 -1.564385 -2.157605 7.904516 -0.613677
8.109063 -0.622385 2.629163 12.971634 -1.235324 -2.519396 6.498533 -0.566529
7.200053 0.265531 1.241677 12.877103 -2.707930 -1.052137 5.657462 -1.204988
7.137216 -1.648610 -1.156951 13.324052 -3.799180 -3.161546 4.911602 -0.728401
5.659912 -3.519238 1.011293 12.056092 -3.141735 -2.145902 4.623073 -2.739788
6.810611 -2.216771 0.207713 11.487869 -4.850505 -3.891344 3.757982 -3.163757
4.800240 -3.087740 -1.055088 9.947615 -3.167975 -3.798740 4.389351 -3.871855
6.178759 -3.479084 -0.562920 9.661472 -2.712117 -4.606989 4.604721 -4.258743
5.286372 -4.826946 -2.856450 6.483447 -3.244640 -5.404630 1.173757 -5.465535
2.777713 -4.523162 -4.853027 7.702228 -4.509883 -4.803110 1.391671 -5.286807
2.127831 -3.247103 -4.667298 9.126613 -6.550653 -4.035649 -1.187092 -6.372846
1.594151 -5.874369 -3.849098 6.896782 -5.086926 -4.268630 -1.753805 -6.940313
1.043509 -5.350644 -5.452580 5.080391 -6.007975 -5.228804 -1.963416 -6.262218
0.800277 -5.624161 -7.554145 5.677879 -6.112700 -3.917852 -0.624190 -5.772284
1.701076 -4.307114 -7.826693 4.865332 -4.586032 -5.504264 -0.709047 -6.604459
-0.245253 -3.009984 -8.189615 3.855170 -6.653990 -2.798944 -2.343712 -4.373177
-2.441387 -2.824505 -6.722549 3.567055 -4.886566 -1.986643 -4.028391 -5.325335
-1.934695 -4.339306 -9.570244 2.589926 -4.101552 -3.710650 -5.947239 -4.058840
-4.154752 -3.364437 -9.282485 -0.581269 -3.913993 -1.078129 -4.061851 -3.895926
-5.628115 -2.943937 -10.603382 0.796312 -2.302267 0.910485 -5.435058 -2.283718
-3.333195 -3.444247 -10.089624 0.110857 -2.908363 -0.531042 -7.211762 -1.228491
-7.249898 -1.510143 -10.285558 -2.667891 -1.150693 0.854503 -7.995908 -3.767951
-5.775684 -0.667844 -10.623371 -0.971254 -0.127613 1.771254 -7.290714 -1.267708
-5.034158 -1.264974 -12.651803 -1.838509 2.300924 1.685817 -9.492306 -1.671274
-5.731113 0.280207 -12.783072 -2.031704 -0.572399 2.453140 -8.155232 1.027379
-7.783910 0.742946 -11.561168 -3.442152 0.114860 2.921605 -9.319004 1.802315
-8.381407 2.318706 -14.466673 -2.983385 0.122058 4.138406 -10.559709 0.736203
-7.873585 3.866115 -15.696957 -5.885019 2.968385 4.397799 -8.741029 3.032855
-9.251370 2.573203 -13.732886 -5.376269 4.095936 6.259184 -12.573021 3.608510
-9.873222 3.578040 -16.768851 -6.326668 4.134887 2.579257 -10.366590 3.470347
-9.681398 2.543906 -16.105916 -6.508648 2.844806 6.154731 -10.653553 4.779080
-12.365106 2.556923 -15.566185 -7.522945 4.844210 3.918122 -12.086459 7.079838
-14.031843 5.542599 -16.499666 -8.268720 3.800987 4.730517 -14.937018 4.905354
-14.484757 4.291727 -17.718076 -7.980292 4.596974 4.935911 -14.692613 6.000923
-14.664543 5.367206 -16.684710 -8.350157 6.420025 3.944819 -14.611012 2.667228
-11.673131 4.604284 -18.443255 -10.970938 4.510329 3.654114 -16.524462 5.621778
-14.075578 7.056749 -15.792399 -10.382603 4.859947 2.494873 -16.245381 5.260933
-14.531641 5.682002 -18.524346 -13.672706 4.638193 4.967470 -17.414140 5.519180
-15.321664 4.322394 -18.691233 -12.000291 5.084025 3.766404 -16.243987 5.205534
-15.717192 3.959514 -18.987387 -12.515511 3.608993 2.954896 -17.617300 3.983796
-16.780551 5.055040 -20.440025 -12.931613 5.575757 1.635750 -16.958849 2.210664
-17.339030 5.084965 -18.622281 -15.016328 2.493255 1.058892 -19.232583 3.963065
-18.079245 3.865198 -20.191716 -12.866306 3.733083 0.504732 -18.249326 4.779337
-16.738435 0.763778 -21.694773 -16.115872 3.413160 1.308923 -17.071320 2.277011
-19.049901 3.772477 -21.049309 -15.416374 4.126335 -0.934393 -17.174830 0.558988
-18.094284 2.110132 -21.935756 -14.936241 2.807747 -2.253024 -21.501929 0.470949
-19.276380 2.160976 -20.717892 -16.043022 2.807655 -2.046692 -18.804175 -0.005143
-16.905912 1.955052 -21.757099 -16.471535 0.974901 -3.300300 -19.920653 -0.442851
-17.607039 0.940878 -21.940881 -18.447844 1.138521 -3.548143 -19.538462 -0.902587
-20.507926 -0.287626 -23.581631 -18.074033 -1.781146 -2.598179 -20.934695 -2.588517
-19.862785 -2.346393 -22.354828 -17.913285 -2.282115 -4.721761 -19.418717 -0.181403
-21.705616 -2.409587 -20.939815 -16.645279 -0.323042 -4.409330 -20.466021 -2.294552
-19.420554 -1.713190 -21.760666 -19.930714 -3.054237 -5.027344 -20.051397 -4.321396
-19.013369 -3.253246 -21.953781 -21.158983 -4.238980 -4.327711 -22.423480 -2.454557
-21.407850 -4.023697 -22.084624 -20.577817 -3.738535 -5.073901 -22.325518 -3.353273
-20.369635 -3.936571 -22.814286 -20.127744 -5.525941 -4.128526 -19.794734 -4.639343
-21.071152 -4.983653 -22.511883 -20.806202 -3.565723 -5.324000 -21.053360 -4.443287
-21.500534 -4.995697 -22.196795 -19.015635 -4.988976 -5.091734 -22.574414 -2.864726
-21.421387 -5.478489 -22.070428 -21.076507 -4.425744 -3.037368 -23.568098 -5.727568
-21.675810 -5.007756 -23.143470 -20.194713 -7.036904 -4.862190 -22.410792 -6.934323
-21.540755 -6.003200 -22.306020 -21.002967 -4.958011 -3.976688 -22.078460 -4.563854
-21.815670 -6.677080 -22.836383 -20.186364 -4.539049 -4.722647 -23.157353 -4.034541
-22.637164 -5.176043 -22.698659 -20.835246 -5.225633 -2.602532 -23.347727 -5.894414
-20.432618 -5.503627 -22.308478 -21.578723 -3.559478 -0.350306 -22.292417 -5.193386
-22.711340 -6.089885 -22.794326 -20.113668 -4.965967 0.213547 -20.874577 -2.840524
-22.786705 -5.355822 -20.354131 -24.034954 -3.698791 0.629294 -22.096561 -1.464639
-22.250699 -4.781727 -21.829434 -21.802249 -4.323224 0.314798 -22.940378 -3.293832
-21.927960 -3.911421 -21.605471 -21.881176 -1.693091 0.513394 -21.483015 -0.880152
-21.883718 -3.863614 -19.701596 -23.459079 -2.233914 2.643834 -20.728280 -1.447929
-22.451933 -3.257283 -21.194187 -19.096764 -3.072949 3.502649 -22.664512 -0.741973
-22.664652 1.117406 -20.384724 -20.510012 -2.623606 4.046435 -19.829512 0.739024
-22.295265 -1.857745 -20.763153 -22.201000 -0.255272 3.147251 -20.713501 0.386746
-21.416495 0.207350 -19.257312 -19.648503 -0.297506 3.879156 -22.393907 0.746548
-22.639540 -0.473010 -19.903104 -21.031675 0.633880 5.509079 -20.540308 1.876858
-21.032450 1.112660 -19.180376 -21.899496 -0.450312 5.864448 -19.686804 1.827848
-20.842850 2.193408 -18.456924 -22.332094 0.288602 4.032974 -20.378932 2.425388
-19.168425 3.331785 -19.003767 -22.673602 1.413572 5.979228 -20.055233 5.586321
-22.326826 3.876064 -18.279736 -21.832677 4.784924 4.259032 -19.577280 4.600539
-19.239110 4.865293 -17.923042 -22.137280 2.102207 4.172207 -19.031842 5.504853
-18.588788 4.346855 -17.385955 -21.088905 6.255722 5.310502 -19.033068 4.608767
-18.441957 5.462278 -16.421974 -21.007160 3.436692 3.326318 -19.055975 5.305936
-18.836510 5.122619 -16.053419 -20.637668 3.866734 3.770043 -19.007417 6.504514
-18.822920 6.488365 -16.191940 -18.519656 4.564599 2.696120 -17.477383 4.650450
-16.347785 5.225782 -16.189463 -19.144534 4.453423 4.402615 -16.773393 4.663403
-18.298022 5.243683 -13.727745 -18.428810 4.043015 2.321010 -17.254081 4.670363
-17.567955 5.090619 -14.613465 -19.947397 5.706263 1.952131 -15.968718 3.460799
-18.680903 5.732053 -13.406490 -18.870196 5.758860 3.104047 -15.952869 5.155256
-18.502996 3.254386 -12.905482 -18.301838 4.799452 -0.107804 -16.738400 4.004798
-15.974266 4.623311 -13.517613 -17.944122 5.151445 -0.155374 -17.585118 3.442562
-16.449822 3.232615 -12.614072 -17.477072 6.244392 -0.013364 -14.669473 2.708445
-14.829641 4.151443 -10.842483 -17.048054 3.394619 -3.606854 -15.197561 4.079443
-14.515602 1.482904 -11.640448 -16.619668 3.075436 -1.941213 -13.844450 -0.191481
-15.221551 1.856386 -9.366891 -16.468787 2.751320 -3.916310 -14.170270 0.264368
-11.809486 2.197689 -11.390062 -14.342287 1.978933 -4.231592 -13.779627 -1.042091
-13.945044 1.812297 -10.609104 -12.878380 2.128494 -3.908985 -11.843422 -1.644674
-13.090183 2.360203 -8.791054 -13.633460 1.108530 -5.015816 -11.474857 -1.653481
-11.610054 -1.006430 -7.930517 -14.391538 -0.255856 -4.356193 -10.250887 0.047364
-10.256717 -1.049100 -7.059430 -14.579853 -1.163132 -4.584080 -11.619064 -4.537216
-11.471319 -1.615763 -8.069958 -13.486484 -1.034373 -5.524963 -10.149939 -4.033866
-10.393680 -2.024794 -6.463484 -13.616146 -1.447948 -6.575847 -9.433900 -5.919647
-9.594504 -2.328604 -3.648839 -11.311134 -1.049978 -3.884080 -9.223668 -4.567409
-8.602127 -2.847837 -4.430428 -11.073568 -3.122345 -5.513475 -8.568248 -4.018811
-8.788874 -5.007199 -3.302555 -11.508654 -3.668020 -4.810605 -7.905002 -5.569712
-7.299762 -4.155436 -5.069583 -9.083177 -5.868499 -5.636229 -5.455177 -4.250557
-5.146270 -5.249536 -3.679462 -8.816518 -6.683369 -3.312918 -6.642445 -5.319555
-4.670973 -5.246160 -3.474096 -5.167273 -5.534450 -2.605882 -4.854207 -6.195432
-3.777814 -4.654858 -1.848745 -6.588880 -5.209702 -5.802936 -5.623540 -6.439942
-4.726589 -5.145551 -1.167914 -7.636605 -6.195998 -2.784464 -3.093310 -5.593700
-4.247153 -6.547085 -0.930086 -5.856245 -6.748811 -0.312629 -3.783851 -2.965241
-3.863593 -6.698248 0.657361 -5.738697 -7.609575 0.832969 -3.357354 -3.467243
-2.574109 -4.131659 0.731408 -5.542571 -5.538039 0.033561 -1.397320 -2.029745
-2.743471 -4.515055 1.191837 -4.650141 -4.902378 1.174317 0.548503 -4.423166
-0.461628 -2.913657 3.140106 -3.044792 -4.872053 0.258235 0.020737 -4.796604
-0.756010 -3.794041 3.710604 -0.388304 -6.081920 4.320758 1.105701 -0.311477
-0.493992 -4.856204 3.360373 -3.532611 -4.145449 5.805533 0.466727 -0.828010
-1.728285 -3.543329 3.365159 -0.958571 -1.461337 5.705228 2.434277 -0.299527
0.966214 -3.455557 5.586853 -0.822706 -2.950229 5.558386 3.343866 0.441977
1.344889 -1.408644 7.879605 0.520720 -3.589537 4.957062 2.841533 1.717191
2.662901 -0.300871 8.356035 1.521356 -0.263050 2.995547 3.764854 0.227523
3.083532 -0.621271 6.662169 2.422982 -1.438282 5.216845 4.169481 1.291088
3.469410 -0.113105 9.764855 2.246044 -0.743833 6.505614 6.962067 0.703350
5.477622 1.541128 8.761675 1.944934 0.196958 7.274980 5.564566 4.670126
5.231425 1.721848 11.800807 3.059291 0.208292 3.928167 4.878864 3.190729
6.203269 2.845313 10.432308 3.662675 0.233344 5.992609 7.580890 4.004194
7.327832 3.460902 10.203138 4.117269 0.974114 6.018115 7.176962 4.185474
7.709987 3.302455 12.444212 5.209533 3.021464 5.559279 7.155953 5.365529
7.237230 5.353454 10.509651 7.082404 1.926848 2.736898 8.627264 4.299792
9.998913 3.625558 12.387806 7.744539 3.631419 4.145545 8.954582 5.275779
10.427615 4.303723 12.918834 8.679711 5.784706 3.223174 9.725489 6.947393
8.727140 4.480821 13.798919 7.596722 4.751281 1.300168 11.889169 4.770313
10.585588 4.842718 13.935121 8.823930 3.464672 1.201694 11.058511 5.145192
11.338671 4.999869 12.161836 7.283982 5.096813 0.489226 10.822952 3.752601
12.607784 5.163234 14.966624 11.322977 5.788176 -1.906483 13.295906 3.251513
11.150072 5.371228 14.662055 12.767202 6.425253 -0.194251 11.612780 5.693497
13.887672 6.083773 18.127029 12.800172 4.998844 -1.605744 15.715783 1.734159
13.142619 5.764817 16.619554 13.570688 7.286179 -2.752329 14.828551 2.505980
13.375832 4.952821 15.591852 14.654623 6.004767 -1.794176 16.613711 2.506198
14.908180 3.691579 17.530417 11.740617 4.918127 -3.507118 13.710808 2.563434
13.906974 2.410371 18.982002 13.762031 5.163934 -5.401992 16.542255 0.411633
17.250521 2.725951 18.338102 15.420687 2.611687 -4.580988 14.802190 -1.019604
13.540073 3.613944 18.498029 16.167072 2.508954 -5.368711 16.694163 0.172032
17.430911 2.558367 20.051920 15.680924 3.318806 -4.151497 17.080532 -0.218158
15.926407 2.958979 18.810379 15.976511 2.249124 -5.042224 16.559275 -2.199177
18.091342 0.909792 19.057794 17.693493 2.081842 -5.471219 20.350231 -2.822261
17.155849 -1.176430 20.611597 16.704477 2.720666 -4.041472 18.407592 -2.817479
19.053475 0.429609 19.348234 18.481912 -0.730375 -4.850681 18.518352 -4.976924
17.612300 -1.497796 20.583860 18.200711 0.713361 -5.173145 19.826935 -4.635260
19.699663 -2.979260 20.769256 17.602977 -1.275295 -4.271165 19.377703 -5.372864
20.035063 -2.102931 20.192421 17.941122 0.413763 -3.372651 18.387796 -4.400724
20.823952 -3.450203 21.646652 19.543975 -1.992155 -3.440701 18.622880 -4.396479
18.176836 -4.696917 19.961198 18.065478 -2.367553 -1.949948 20.638160 -6.429023
19.474484 -4.462606 21.380059 19.897188 -1.651237 -2.975919 19.539096 -4.120088
19.850128 -4.604035 21.517199 19.322404 -4.103579 -1.221959 21.012059 -5.435621
20.926822 -5.096764 23.287083 18.714257 -6.608640 -1.429906 22.169208 -5.183587
20.409106 -4.248673 21.838643 18.441950 -4.882282 -0.668954 21.165198 -3.600030
20.884467 -5.646044 22.678073 21.950183 -3.963736 1.583617 23.052982 -4.753158
21.800010 -5.258594 22.724908 19.565155 -4.443984 2.316711 21.052087 -4.213878
22.288831 -5.030661 22.039420 23.581292 -5.212760 0.789767 21.546182 -3.084682
19.348777 -5.540761 23.178647 21.590397 -7.290649 2.364713 22.224912 -2.034415
23.186071 -3.295756 22.619926 21.396504 -6.422619 4.321472 24.305585 -3.319702
21.253687 -3.982751 23.890568 22.094925 -6.142404 3.060926 21.977992 -4.950325
21.045265 -3.316915 23.272963 20.789170 -3.824448 3.384359 21.834466 -0.640733
22.506337 -1.977170 22.618176 20.899921 -3.420661 5.518773 20.877827 0.121360
23.451269 -2.265801 20.709606 19.951786 -2.782532 5.439507 22.601154 -2.055196
23.776689 -2.085081 21.782182 21.533798 -3.491299 5.718072 21.660916 3.528691
22.924623 -2.854418 21.394474 22.472494 -3.774376 4.263364 21.615666 0.689535
22.189219 -0.699792 21.102406 22.036736 -3.447780 5.755549 24.714396 3.381145
21.495786 -1.277606 21.740864 23.483345 -2.117971 7.462857 22.002812 3.928913
20.945621 0.753917 20.107116 20.214880 -1.704380 4.511971 23.038658 2.382883
22.255170 1.245881 22.212162 19.831284 0.009086 4.870960 22.184751 4.437879
23.188287 2.459089 23.029441 21.425680 0.515685 4.168428 22.151142 2.709313
22.314259 0.827623 20.453542 21.505918 0.935637 3.088971 23.228547 5.303494
21.037171 3.420691 20.932716 22.746498 3.310162 1.845248 21.343245 5.560292
22.558984 4.876960 23.180895 20.665180 0.575599 0.767222 19.992360 6.706425
20.654033 4.114545 21.295609 20.120992 3.386049 0.542740 20.726006 5.003578
21.778825 3.264600 20.791608 22.991393 4.616765 0.833926 21.266317 6.646301
22.588608 5.474508 21.674417 19.665353 4.657514 -0.163476 22.689380 5.108930
22.391823 4.700782 17.827208 19.164611 3.226548 -2.716706 21.775428 4.761034
20.195996 4.334866 19.514916 19.628188 5.429988 -0.709025 19.136270 5.495790
20.414665 1.808510 15.802202 19.428603 5.920710 -4.079611 20.773675 4.557497
19.614438 6.501319 17.854522 20.109201 5.021281 -2.416626 18.441133 5.038623
19.877120 4.189001 18.028277 18.897877 6.401917 -2.315712 20.048132 2.633035
19.051136 4.603544 16.047979 17.733689 5.119175 -5.329507 17.993478 1.091934
17.109586 3.382228 14.638157 17.761500 6.656315 -4.578507 18.450151 2.135517
18.981323 5.455005 15.098273 16.087100 4.185356 -3.482191 18.769767 0.802182
17.848936 3.555319 16.522386 17.422637 5.296231 -4.641412 19.308749 0.971390
16.170372 4.222144 15.536470 15.704526 5.395799 -5.875981 17.885186 -0.767828
16.199822 1.106725 16.581579 15.974489 3.583013 -4.593090 17.055910 -2.485302
16.235769 2.834605 15.405832 13.311588 5.676833 -5.244861 17.128985 -2.342774
15.979677 1.049955 12.765251 16.338341 4.856968 -4.758630 16.146798 -1.745596
16.531820 1.652231 13.496136 14.557257 2.818376 -5.677812 16.169984 -4.201504
15.180082 -0.917612 11.276734 14.717146 2.706555 -4.841305 13.852765 -2.925183
15.648372 -1.626214 12.187228 14.113520 1.993509 -0.956726 15.018629 -2.330995
14.060062 -3.740583 12.649788 12.185082 -0.594810 -3.683594 12.530980 -4.578747
12.983962 0.009054 11.022827 13.750897 -1.813559 -3.176936 13.037098 -3.812631
13.634680 -3.472362 10.180469 12.259240 -0.698501 -1.549745 12.410638 -4.394613
15.011437 -3.285522 10.589461 10.171052 -2.423682 -2.116527 10.047791 -6.188692
9.489074 -2.315349 9.931068 9.745105 -2.462868 0.429483 10.740918 -4.368497
9.193171 -1.830974 10.702455 10.715575 -3.430085 -1.288592 11.341476 -5.791304
11.086973 -6.152109 7.929486 8.494713 -1.960052 1.512221 9.716714 -5.172256
11.173689 -5.760820 8.334126 9.079827 -4.010043 -0.210323 9.392894 -5.515736
9.575830 -4.142788 8.595647 8.105408 -6.898359 2.074879 9.907646 -5.724118
7.844215 -6.811838 5.892571 8.812569 -3.626576 2.591087 7.132768 -4.703542
6.991557 -3.195012 4.675364 6.007032 -5.204635 4.878705 8.580775 -4.248341
6.501257 -6.024617 4.312742 7.104020 -5.032637 4.633638 7.806684 -2.768396
5.102847 -3.799790 3.885623 4.813947 -4.757719 1.852804 6.329748 -4.414357
5.920512 -5.407194 2.893690 6.169298 -4.162823 3.746593 6.745269 -1.058211
4.283070 -3.499731 3.087417 3.014020 -5.282918 4.685152 4.231237 -1.003845
6.482204 -4.071275 3.199745 2.087264 -2.418293 5.093195 3.957326 -1.608453
3.176987 -4.466040 0.678704 3.161205 -4.456971 6.313505 3.696421 0.536543
3.429546 -3.540783 1.156193 1.218710 -5.110228 5.075271 3.116180 2.998066
2.736042 -3.141241 -0.077057 2.529232 -4.289306 4.331812 2.927078 0.069407
-0.661016 -0.891454 -0.664459 0.046438 -4.767144 5.557948 1.539429 1.296159
0.413957 -1.618144 -1.236691 0.332336 -3.626211 5.157509 0.849749 2.586815
-0.070337 -0.543916 -0.393027 -0.555495 -2.519029 4.406889 0.651826 2.675942
-0.739519 -2.150999 -1.516775 -2.726898 -4.091345 3.594287 -0.807561 3.951347
-2.907066 1.252395 -3.990348 -4.266248 -1.703108 4.176149 -2.224503 4.739973
-2.701442 1.664019 -2.448835 -3.361548 -2.988072 1.350914 -0.767220 3.991547
-1.965200 3.047046 -2.854099 -3.883459 -0.648257 0.554029 -3.138261 5.768253
-3.152352 1.830062 -4.207602 -5.485764 1.371076 1.877545 -2.297325 4.914088
-3.277906 3.573606 -5.812589 -5.530579 0.759242 -0.856116 -2.282596 5.543820
-2.752262 3.084094 -7.683375 -6.504950 1.839341 0.591185 -4.327466 6.399949
-5.017790 4.699560 -7.573476 -4.248064 2.959528 -2.639669 -4.053798 5.201735
-5.375106 4.376227 -7.405487 -6.548064 2.946724 -1.918893 -5.957542 5.954481
-7.277571 4.219139 -9.502409 -6.265347 3.036708 -2.354983 -6.838081 4.180585
-7.389561 4.170124 -9.112721 -9.039465 2.150411 -3.362230 -6.988580 3.042239
-7.995561 5.530043 -10.066737 -10.077871 5.768974 -3.536098 -7.500083 4.166110
-8.588415 5.566978 -11.312984 -8.845607 4.533542 -5.259563 -8.377490 3.609446
-9.571883 6.848949 -9.621296 -10.828630 5.255951 -4.905909 -10.655400 4.146472
-9.423559 5.942430 -10.160288 -9.655530 5.387716 -4.181804 -10.144025 2.715669
-12.352204 4.075155 -10.489038 -13.327187 4.314222 -5.964076 -8.342693 2.748249
-10.527966 3.850938 -11.660319 -10.096046 6.575479 -6.726787 -10.530095 -0.026261
-12.447111 4.361975 -13.232278 -14.555529 4.802088 -6.428934 -13.985478 -0.309587
-10.797094 3.493770 -14.353373 -14.684925 7.762647 -4.994778 -9.423221 0.261212
-13.274494 1.770963 -13.783040 -12.253495 5.021863 -4.564138 -12.448321 -0.794064
-14.011763 2.561569 -13.714761 -13.964607 5.195419 -4.496097 -14.061994 -0.569240
-14.266381 3.177825 -15.427343 -15.315459 4.101275 -4.981722 -13.211553 -2.113244
-15.282536 0.085101 -16.163492 -16.497779 4.941635 -3.939743 -14.462500 -4.416818
-16.851872 0.941622 -14.821153 -17.747939 3.377573 -3.740008 -14.991807 -2.635773
-14.110461 -0.394066 -17.220316 -14.878486 3.523491 -2.346049 -14.063070 -3.684760
-16.782469 -0.527294 -17.445464 -16.011828 2.722474 -2.786042 -16.001587 -3.606534
-16.393914 -2.277370 -17.786899 -16.545669 1.571384 -0.656736 -15.425935 -6.839995
-17.844977 -3.200205 -17.132147 -17.058794 2.351595 -0.725754 -16.447178 -6.125705
-17.552816 -1.251857 -17.279686 -17.736541 -2.168736 0.577708 -16.377885 -5.001288
-18.158554 -4.976657 -19.707427 -19.301921 -0.815024 0.320424 -15.770843 -6.944928
-18.676618 -4.593639 -18.784088 -20.207045 0.007132 1.784694 -20.054577 -4.624000
-18.526078 -5.280632 -18.342248 -18.183360 -2.483049 1.686874 -17.850369 -4.996043
-18.920716 -5.465899 -18.129374 -18.418969 -2.076240 3.804367 -17.772019 -5.638369
-21.180035 -6.360491 -19.911726 -21.654797 -2.171755 3.609468 -18.465839 -4.721092
-19.061013 -4.714437 -18.217035 -19.965899 -4.897146 3.752113 -19.283157 -2.929122
-19.037280 -4.213639 -21.304945 -20.198651 -4.239655 4.579879 -18.122779 -3.874565
-19.829016 -4.362178 -20.987920 -19.771583 -3.656913 3.840177 -20.059539 -3.352610
-21.616531 -4.356197 -20.925646 -20.299192 -3.142334 5.209834 -20.894355 -1.885432
